series,patient,group,label,slice_idx,liver_px,fo_mean,fo_median,fo_std,fo_skewness,fo_kurtosis,fo_p10,fo_p90,fo_iqr,fo_range,fo_entropy,glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity,glcm_dissimilarity,glcm_asm
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,9,670,29.15820895522388,45.0,48.661812387660405,-1.09461650629961,0.4758276246680544,-49.099999999999994,76.0,57.0,222.0,1.045674424239582,1.172027364175755,0.9575283207745082,0.9903988360262371,0.9917840205970017,0.07528546803174571,0.980889884050256
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,12,918,45.74291938997821,54.0,38.94593382385128,-1.4477653852756835,2.0275964854349233,-13.0,84.0,36.0,209.0,1.0692909630089358,1.809988870790404,0.9644628230665006,0.9866048571811898,0.9884207982821567,0.10770690067754544,0.973389200169923
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,15,1276,47.16771159874608,59.0,41.92039879583794,-1.4810643824998677,1.9452386277363791,-18.5,86.0,38.0,224.0,1.0044711403478814,1.9985032833838998,0.9683327233396948,0.9816434300318979,0.9844406826291128,0.1323901142040153,0.9636238983449854
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,18,1512,58.86970899470899,64.0,31.85905771747612,-1.6189865770420624,4.006807014175146,23.0,90.0,29.0,254.0,0.8527514493968418,2.2424627696745354,0.9653228153576171,0.9781476833252005,0.9818880640605424,0.14558978553303514,0.9567730004158878
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,21,2039,53.30750367827366,64.0,41.880198806611176,-1.6690576492862683,2.8413189764052227,-5.0,90.0,34.0,247.0,0.9066777908406938,2.600089738989357,0.9705760963659253,0.9708303625134925,0.9758491828271176,0.18434772047533654,0.9425117286734402
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,24,2520,63.3734126984127,69.0,32.42517404984919,-1.849662627397655,5.54540111123635,30.0,94.09999999999991,30.0,239.0,0.9055878832927848,4.675445388836381,0.9632801353155953,0.9637660583066298,0.969656184673563,0.26514574597013685,0.9288452490112789
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,27,3784,59.98255813953488,68.0,39.73378925647426,-1.7595757665819909,3.798919872888754,14.0,98.0,35.0,246.0,0.909098657917502,6.3780765990393,0.9632961749822493,0.9459200752118988,0.9543952400423831,0.39120043918326786,0.8947651987645686
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,30,4508,64.17546583850931,68.0,33.274930298385435,-1.3362598680249718,3.5138052157276327,27.0,100.0,35.0,257.0,0.8646108641266604,7.3589327523895145,0.9619582635314685,0.9354266274834907,0.9458012301511518,0.45811003889148716,0.8750235576878893
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,33,6533,58.26236032450635,66.0,40.804372727389996,-1.2910884700776293,2.329420929983681,7.0,100.0,39.0,290.0,0.7910019991568973,6.967166867871265,0.9657522122055415,0.9070867902518196,0.9224208817051001,0.5714682363599812,0.822807261319761
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,36,7338,65.69855546470428,69.0,33.22150607905663,-1.122788021752271,3.3776806234064756,28.0,103.0,36.0,267.0,0.8361246212650999,10.01579570250095,0.9648486812720308,0.8957414100724052,0.9120938973645301,0.7102630847662733,0.8023536395032902
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,39,8699,63.17611219680423,68.0,38.08967190272829,-1.4500199913431469,3.620537054478519,23.0,102.0,39.0,272.0,0.8327202625430355,10.574568024386263,0.9663081808370664,0.877185014912697,0.8960348425533344,0.8161124618006677,0.7694546355971902
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,42,9347,66.32801968546057,69.0,32.309803915895195,-1.116478203407694,3.595481106772862,30.0,102.0,37.0,277.0,0.8017763044414551,11.433181787887104,0.9651771805258064,0.8677070926951542,0.8886250781558696,0.864596098356168,0.7529168108172561
