series,patient,group,label,fo_mean,fo_median,fo_std,fo_variance,fo_skewness,fo_kurtosis,fo_energy,fo_entropy,fo_uniformity,fo_range,fo_p10,fo_p90,fo_iqr,grad_mean,grad_std,grad_p90,axial_glcm_contrast,axial_glcm_correlation,axial_glcm_energy,axial_glcm_homogeneity,axial_glcm_dissimilarity,axial_glcm_asm,sagittal_glcm_contrast,sagittal_glcm_correlation,sagittal_glcm_energy,sagittal_glcm_homogeneity,sagittal_glcm_dissimilarity,sagittal_glcm_asm,coronal_glcm_contrast,coronal_glcm_correlation,coronal_glcm_energy,coronal_glcm_homogeneity,coronal_glcm_dissimilarity,coronal_glcm_asm,shape_volume,shape_extent_z,shape_extent_y,shape_extent_x,shape_elongation,shape_flatness,shape_sphericity
Patient_GA_Healthy_s02,Patient_GA_Healthy,Patient_GA,0,118.56467029643073,120.0,28.13661315520977,791.6689998459235,-1.5077897246287348,10.42103555495856,1227290516.0,0.9953373959706591,0.0020510562328074113,425.0,92.0,145.0,27.0,491.71328819800146,576.3544565175861,1057.6068737475173,78.73748482420336,0.8822730444450038,0.5062835867445169,0.6306632097951402,3.1936202975265395,0.2564227985991822,37.80690245772628,0.7766881653155429,0.8479447061780157,0.8683571281025122,1.6422273239162626,0.7190785378825666,64.51292793235817,0.8993795812989229,0.761354457106518,0.8067190023724418,2.2786182213132937,0.5797267636998839,82650.0,161.0,108.0,59.0,0.366459627328965,0.5462962962957905,0.03782392620064209
Patient_GA_Healthy_s03,Patient_GA_Healthy,Patient_GA,0,110.69142754293942,119.0,42.066149217976964,1769.560910029104,-2.046888630949079,6.814383626321893,5998845337.0,0.8730872426425257,0.001716330438664875,500.0,71.0,142.0,26.0,573.6650910463732,775.5787226250275,1659.9622586070823,20.762726122332545,0.9675789284059065,0.31530264202631614,0.5905876226234976,1.766952674267988,0.09944517298824344,14.32111304222731,0.9627125045446978,0.865046912240818,0.9024430244174156,0.741362864589773,0.7483134752382005,0.0,0.0,0.0,0.0,0.0,0.0,427812.0,225.0,426.0,67.0,0.1572769953051274,0.29777777777764547,0.010568796667643002
Patient_KB_Before_s01,Patient_KB_Before,Patient_KB,1,96.87928122963557,96.0,28.89558813186846,834.9550134865774,0.2731912274226638,8.111892515314194,6524472155.0,0.8623607856498732,0.0016021298017398372,500.0,68.0,127.0,28.0,554.1687558514694,615.168009388483,1207.7545278249775,27.850553738065095,0.9547998997275574,0.4949916785138718,0.6309308544065366,2.094520160369359,0.24503327440692504,116.45888242446122,0.8775622529823411,0.42171311468572165,0.522490723339296,4.753664522765808,0.17816220099726665,75.79095176902706,0.8909922982078943,0.49101285806205086,0.6102187135681654,3.394470060555735,0.2413549114336238,638368.0,277.0,234.0,44.0,0.15884476534290295,0.18803418803410768,0.05736317473760008
Patient_KB_Before_s02,Patient_KB_Before,Patient_KB,1,51.28950996860819,53.0,20.056512231565716,402.2636828949452,-0.5798347669986597,12.823541582162141,1995072323.0,0.7987073116711928,0.0021562579526201355,500.0,29.0,73.0,21.0,428.5207647780417,455.1829826590404,817.8597679242732,46.12163385405279,0.9491227223907135,0.3984526898960565,0.5130292532392313,3.3896100451646363,0.15878128703052383,109.29239471230339,0.877612728593246,0.34162491068141426,0.4472763087895488,5.207609051870157,0.11696976888283805,91.19707452820933,0.9078795866570206,0.4800225473562491,0.5727498520858786,4.095367742363916,0.230621341116868,657815.0,266.0,234.0,40.0,0.15037593984956754,0.1709401709400979,0.06675137870185358
Patient_KB_Before_s03,Patient_KB_Before,Patient_KB,1,70.2045719383432,71.0,20.449204181842596,418.1699516706887,0.23650990581033643,22.34393846566167,3464273450.0,0.8020141142843455,0.002081872133524053,500.0,48.0,92.0,22.0,461.5876546145645,493.2819320511572,895.3630548554033,39.36156040826399,0.953098581868953,0.40816426046510346,0.5453952094067693,2.8146866183147803,0.16661519843310715,119.27992001691356,0.8686869052336156,0.3992011097477816,0.4915675818653713,5.235850469738173,0.15971268197139477,89.80837049699039,0.901876383209464,0.47952944479298554,0.5886849058256083,3.7843213043246022,0.23015334190034958,647909.0,273.0,234.0,40.0,0.14652014652009285,0.1709401709400979,0.060817343922751704
Patient_KB_Before_s04,Patient_KB_Before,Patient_KB,1,84.59961769863173,84.0,21.069181393570844,443.9104045951918,1.1564760742841695,24.751269475937097,6012387923.0,0.8077229621329771,0.0020310166956948052,500.0,62.0,108.0,23.0,431.7146147550459,369.29357273530303,718.6954848890612,40.29666534904821,0.8795520733636917,0.36270485183458345,0.516855347551631,3.0856748621487635,0.1317096601277117,72.57113204303705,0.8701662874841211,0.3047837421540822,0.4494001544819511,4.291538272758222,0.09319270403419458,49.9040527552399,0.9250635573453958,0.519602881503914,0.652022867771066,2.5793440781838743,0.2701231583421211,790999.0,309.0,227.0,89.0,0.28802588996754436,0.3920704845813251,0.051203762424241225
Patient_KB_Before_s05,Patient_KB_Before,Patient_KB,1,47.634980522069874,49.0,19.37994292191187,375.582187656562,0.25692818021557634,30.915677502625492,1638161050.0,0.7851596674387911,0.002306240578294961,500.0,27.0,68.0,20.0,434.6788394815061,461.3336251790757,859.6458572204432,39.424621260440105,0.9603456829454144,0.4499150917017499,0.5725170245143867,2.73298025976516,0.20243787586733172,130.20949936398995,0.880290118273144,0.39590483636764523,0.500561737766826,5.123188908451393,0.15705181002307536,77.42729887365036,0.9027629390634124,0.4563965848387144,0.5527519487994303,4.011721884754764,0.20850140549490298,619419.0,277.0,227.0,40.0,0.14440433212991177,0.17621145374441577,0.05566043462828573
Patient_KB_Before_s06,Patient_KB_Before,Patient_KB,1,52.08904543371439,54.0,19.48711917589451,379.7478137755155,0.40672294866972475,30.29871445874121,1943750525.0,0.787651931951456,0.0022837278612872834,500.0,31.0,72.0,20.0,438.0163604479857,465.19344823960427,860.1073188750819,25.13837542927995,0.9591170653175434,0.4606841512872874,0.6007964609941218,2.195587484340972,0.2122455414936374,100.05833724157782,0.8806778440860117,0.39918922414194397,0.5119779050429535,4.515908801634687,0.15969624645367875,60.08635837869113,0.9041469877438215,0.48755859289413966,0.5862803838741254,3.450687310660162,0.23795189005311193,628432.0,288.0,227.0,40.0,0.13888888888884066,0.17621145374441577,0.05024376848492456
Patient_KB_Before_s07,Patient_KB_Before,Patient_KB,1,56.31638523093934,58.0,23.466084948452913,550.6571428080083,0.32896477342752894,21.442040853951962,2342937721.0,0.8190585786820437,0.0019538240353594092,500.0,32.0,80.0,24.0,491.00024576439245,530.451488642726,1038.384803432716,25.532602628713853,0.9621204456974991,0.5593631665340709,0.6552135024464091,2.1371758045265543,0.3128946183242391,81.94265084677993,0.8633663336505695,0.38410879313452656,0.4952584684492163,4.4024042967376324,0.1479141997932999,40.729290476846266,0.9035611665511216,0.47719003124022913,0.606285586019052,2.7472557618342908,0.22793343390336096,629451.0,284.0,227.0,49.0,0.1725352112675449,0.21585903083690933,0.05248174725218173
Patient_KB_Cancer_s01,Patient_KB_Cancer,Patient_KB,1,117.34429205839128,115.0,32.07059773985895,1028.5232393918457,1.090314984043828,7.11997391154976,9283713801.0,0.8491015779861938,0.0018478992535614848,500.0,90.0,141.0,24.0,489.6652379549273,586.4258223591586,1265.0503942372477,4.847435882687385,0.9684207128675755,0.952841672511592,0.9661811387899271,0.25568501123467996,0.9079075033475662,101.62021596573788,0.8822264803997982,0.3607192480489468,0.5158840936027085,4.238107180959352,0.1305282598337222,57.811364482900856,0.9015920714632653,0.5609449133332479,0.6885671907694368,2.5672703313038747,0.31483892549310705,627354.0,321.0,238.0,77.0,0.23987538940802497,0.32352941176456995,0.0362242124175679
Patient_KB_Cancer_s03,Patient_KB_Cancer,Patient_KB,1,73.506744167902,74.0,19.33334618517793,373.77827471593406,-0.2595621193427391,11.66212047334761,3702203083.0,0.7938865226232502,0.0022610555732214925,500.0,53.0,94.0,20.0,403.5666035194763,416.47699278358493,843.2586198300619,73.87411838892126,0.9047476872505573,0.36332150943409125,0.46028227501464775,4.7081492459782215,0.13219965336847664,83.30610386155388,0.874068851545946,0.37617651343849523,0.48640079095363836,4.539977009760562,0.1419223184053067,32.08517735410113,0.9324768007936552,0.8039169470049427,0.8443502764449772,1.4442319320150163,0.6463087684183124,640850.0,329.0,238.0,78.0,0.23708206686922886,0.3277310924368371,0.03436925137321745
Patient_KB_Cancer_s04,Patient_KB_Cancer,Patient_KB,1,77.29726855670984,78.0,23.043127003799874,530.985702113251,0.13669924027950622,18.487139093369564,8375492575.0,0.8160083688617172,0.002005208887953293,500.0,54.0,101.0,23.0,350.39975600091327,359.5516089063327,641.0759705306577,10.224459244117762,0.9592785641683381,0.4253588410436942,0.6573672602600028,1.351940167343336,0.18094867659127314,30.992865093248604,0.9269156211919142,0.3886310860845096,0.5940574160281358,2.2467271420566313,0.151108795740035,23.346256639068443,0.942714989422963,0.46112803195897734,0.6535349558688551,1.8438880703562988,0.21270484944926535,1287378.0,265.0,231.0,80.0,0.30188679245271627,0.3463203463201964,0.13212038759153377
Patient_KB_Cancer_s05,Patient_KB_Cancer,Patient_KB,1,47.670574593361536,49.0,17.57141864346609,308.7547531439476,0.860773757667961,40.36852013698957,1631688577.0,0.7674302258875754,0.002543665853544839,500.0,28.0,66.0,19.0,368.0011766999368,392.97757349515143,738.313754426494,28.587272776401143,0.9634648674537991,0.5995717175615826,0.6795495213475091,2.1763062356995637,0.35949492914038705,106.4191123919621,0.8743983294985688,0.37976148200067744,0.4822259967167653,5.046135574899032,0.14460821086074155,85.21821155579649,0.9096957030238417,0.49016608368932674,0.5895872861001148,3.8387801367205996,0.2404995629426377,632134.0,265.0,234.0,50.0,0.1886792452829477,0.21367521367512238,0.06487433301624433
Patient_KB_Cancer_s06,Patient_KB_Cancer,Patient_KB,1,56.06682823603204,58.0,17.605492158290684,309.95335413563475,0.6823497437439198,39.512789211910615,2224358914.0,0.7679116079504186,0.0025356853696288334,500.0,37.0,74.0,18.0,364.2283503773592,406.2946996057829,747.4484597404876,8.215923594626034,0.9581426551198591,0.4403336802471317,0.6486124128617852,1.3504027428713423,0.1939112251695357,88.12682114792933,0.8848916057162936,0.3868954693557174,0.5428450285015137,3.812268609543344,0.15005172788383486,55.183584833864344,0.9062644208318642,0.4684685678980396,0.5826143542377014,3.324110474502385,0.21973085550856689,644099.0,269.0,231.0,40.0,0.14869888475830903,0.1731601731600982,0.06319710186501193
